"ROI#","ROI ID","Canonical","uCT #","uCT qual","Tree ID","Tree name"
"","","","","",95,"120"
"","","","","",97,"136"
"","","","","",100,"338"
"","","","","",101,"329"
"","","","","",102,"?"
"","","","","",103,"138"
"","","","","",109,"141 + 1.pres.p.194+195+196+197+-198 + -"
"","","","","",110,"142"
"","","","","",114,"166"
"","","","","",115,"351 (exit point?)"
"","","","","",119,"131"
"","","","","",120,"ex (126)"
"","","","","",121,"?ex2 (126)"
"","","","","",122,"130"
"","","","","",124,"185"
"","","","","",125,"188"
"","","","","",128,"164"
"","","","","",132,"243"
"","","","","",136,"127"
"","","","","",140,"129"
"","","","","",141,"189"
"","","","","",142,"242"
"","","","","",144,"179 + 1.pres.p.147 + 148 + 150+151 +303 +306 + 401+402"
"","","","","",145,"240"
"","","","","",146,"191"
"","","","","",149,"184"
"","","","","",150,"190"
"","","","","",156,"unknown branch"
"","","","","",157,"?"
"","","","","",159,"181"
"","","","","",161,"359 (exit point?)"
"","","","","",170,"357"
"","","","","",172,"192"
"","","","","",173,"228"
"","","","","",182,"195 (exit point?)"
"","","","","",185,"230"
"","","","","",186,"25"
"","","","","",187," 15 (exit point?)"
"","","","","",190,"356"
"","","","","",200,"200"
"","","","","",204,"369"
"","","","","",205,"255 + 1.pres.p. 207+208+209+210+213+214 +216+217+218"
"","","","","",210,"313"
"","","","","",211,"307 (?)"
"","","","","",212,"96"
"","","","","",213,"308"
"","","","","",214,"315"
"","","","","",218,"227 (exit point?)"
"","","","","",219,"309"
"","","","","",221,"83"
"","","","","",224,"78 + 1.pres.p.308+309 +322 +324+325 + 450 +465"
"","","","","",227,"87 + 1.pres.p.337+338 +339 + 340"
"","","","","",228,"257"
"","","","","",230,"325"
"","","","","",231,"92"
"","","","","",232,"?branch"
"","","","","",234,"80 + 1.pres.p.109 + 294 +477+478"
"","","","","",235,"77 + pres.p.110 +389+390"
"","","","","",236,"89 + 1.pres.p. 127+129 + 130"
"","","","","",238,"220"
"","","","","",239,"76 + 1.pres.p.466"
"","","","","",240,"219"
"","","","","",242,"391 uncertain branch"
"","","","","",247,"2"
"","","","","",248,"374"
"","","","","",250,"3"
"","","","","",251,"225"
"","","","","",254,"224 + 1.pres.p.391"
"","","","","",257,"6"
"","","","","",258,"221"
"","","","","",260,"73 + 1.pres.p.287+288+289"
"","","","","",261,"392"
"","","","","",265,"41"
"","","","","",269,"228 (exit point?("
"","","","","",270,"71"
"","","","","",277,"295"
"","","","","",281,"10"
"","","","","",283,"390 (exit point?)"
"","","","","",285,"0 (cq)"
"","","","","",288,"15 (exit point?)"
"","","","","",292,"24"
"","","","","",296,"31"
"","","","","",298,"260 (gp)"
"","","","","",303,"304"
"","","","","",311,"139"
"","","","","",312,"324"
"","","","","",313,"unk. branch (was im')"
"","","","","",314,"241 (im)"
"","","","","",315,"unknown branch (was im''')"
"","","","","",317,"391 uncertain branches"
"","","","","",322,"A process through anterior root + -"
"","","","","",324,"-"
"","","","","",325,"unknown"
"","","","","",326,"18 + pres.p.1.185 +227 +437"
"","","","","",331,"391 pres.part.3 no found soma"
"","","","","",333,"391 pres.part.4_no soma"
"","","","","",334,"391 pres.part.6 soma not found"
"","","","","",335,"391 pres.part.6"
"","","","","",336,"-"
"","","","","",338,"314+1.pres.p.284+285+297"
"","","","","",340,"-"
"","","","","",341,"-"
"","","","","",342,"391 pp.9"
"","","","","",343,""
"","","","","",345,"391 pp.10"
"","","","","",350,"391 pp.12"
"","","","","",353,"-"
"","","","","",354,"391 pp.14"
"","","","","",361,"-"
"","","","","",363,"306 (old 391)"
"","","","","",364,"391 uncertain branch''"
"","","","","",365,"?P"
"","","","","",368,"1.pres.p.4_uncertain"
"","","","","",376,"222 + 1.pres.p.12+318+319+320 +321 +323"
"","","","","",377,"86 (hq)"
"","","","","",381,"1.prep.p.15"
"","","","","",382,"1.pres.p.16"
"","","","","",384,"391"
"","","","","",389,"1.pres.p.19"
"","","","","",391,"368 (uncertain partner)+1.pres.p.21"
"","","","","",392,"398"
"","","","","",400,"494+1.pres.p.101 + 307 +332"
"","","","","",403,"-"
"","","","","",407,"1.pres.p.34"
"","","","","",411,"323 (ie)"
"","","","","",413,"1.pres.p.1"
"","","","","",415,"415 (uncertain partner)+1.pres.p.102+103"
"","","","","",417,"-"
"","","","","",418,"1.pres.p.next ganglion 77 +96+97+98 + 430 + 459"
"","","","","",419,"-"
"","","","","",420,"-"
"","","","","",421,"1.pres.p.-next ggl +346+347+348+349+350+351 + 452+453+454 +455+456 +359 +361 + 372 + 457 + 458"
"","","","","",423,"1.pres.p.107-nextggl"
