"phi","r","g","b"
0.641,0.605611,1,0
0.642,0.604441,1,0
0.643,0.603268,1,0
0.644,0.602092,1,1.73966e-17
0.645,0.600914,1,0
0.646,0.599732,1,0
0.647,0.598547,1,0
0.648,0.59738,1,0
0.649,0.596211,1,0
0.65,0.595039,1,0
0.651,0.593863,1,0
0.652,0.592685,1,0
0.653,0.591504,1,0
0.654,0.59032,1,0
0.655,0.589133,1,7.23723e-17
0.656,0.587942,1,0
0.657,0.586749,1,0
0.658,0.585552,1,0
0.659,0.584353,1,0
0.66,0.58315,1,0
0.661,0.581944,1,0
0.662,0.580734,1,0
0.663,0.579522,1,0
0.664,0.578306,1,0
0.665,0.577099,1,0
0.666,0.575901,1,0
0.667,0.574701,1,0
0.668,0.573497,1,0
0.669,0.57229,1,0
0.67,0.57108,1,0
0.671,0.569867,1,0
0.672,0.56865,1,0
0.673,0.56743,1,0
0.674,0.566207,1,0
0.675,0.56498,1,0
0.676,0.56375,1,0
0.677,0.562516,1,0
0.678,0.561279,1,0
0.679,0.560038,1,0
0.68,0.558794,1,0
0.681,0.557547,1,0
0.682,0.556295,1,0
0.683,0.555068,1,8.09274e-17
0.684,0.553839,1,0
0.685,0.552607,1,0
0.686,0.551371,1,0
0.687,0.550131,1,0
0.688,0.548888,1,0
0.689,0.547641,1,0
0.69,0.54639,1,5.37054e-17
0.691,0.545136,1,0
0.692,0.543879,1,1.15471e-16
0.693,0.542617,1,0
0.694,0.541352,1,8.15587e-18
0.695,0.540083,1,0
0.696,0.53881,1,0
0.697,0.537533,1,0
0.698,0.536253,1,0
0.699,0.534969,1,0
0.7,0.533695,1,0
0.701,0.532436,1,0
0.702,0.531174,1,0
0.703,0.529907,1,0
0.704,0.528637,1,0
0.705,0.527363,1,0
0.706,0.526085,1,0
0.707,0.524803,1,0
0.708,0.523517,1,0
0.709,0.522227,1,0
0.71,0.520933,1,0
0.711,0.519635,1,0
0.712,0.518333,1,0
0.713,0.517026,1,0
0.714,0.515716,1,2.83501e-18
0.715,0.514401,1,0
0.716,0.513082,1,0
0.717,0.511758,1,0
0.718,0.510467,1,0
0.719,0.509173,1,0
0.72,0.507875,1,0
0.721,0.506573,1,1.96838e-16
0.722,0.505267,1,0
0.723,0.503956,1,1.97679e-16
0.724,0.502642,1,0
0.725,0.501322,1,8.99883e-18
0.726,0.499999,1,0
0.727,0.498671,1,9.83958e-18
0.728,0.497338,1,1.02599e-17
0.729,0.496001,1,0
0.73,0.49466,1,0
0.731,0.493313,1,1.15211e-17
0.732,0.491963,1,0
0.733,0.490607,1,0
0.734,0.489247,1,0
0.735,0.487901,1,0
0.736,0.486575,1,0
0.737,0.485244,1,0
0.738,0.483908,1,0
0.739,0.482568,1,8.35745e-17
0.74,0.481223,1,0
0.741,0.479874,1,0
0.742,0.478519,1,2.52262e-17
0.743,0.47716,1,0
0.744,0.475796,1,0
0.745,0.474427,1,0
0.746,0.473053,1,0
0.747,0.471674,1,0
0.748,0.47029,1,0
0.749,0.468901,1,0
0.75,0.467507,1,0
0.751,0.466107,1,0
0.752,0.464702,1,2.02524e-17
0.753,0.463338,1,0
0.754,0.461971,1,0
0.755,0.4606,1,0
0.756,0.459223,1,0
0.757,0.457842,1,0
0.758,0.456455,1,0
0.759,0.455062,1,0
0.76,0.453665,1,7.53392e-17
0.761,0.452261,1,0
0.762,0.450853,1,0
0.763,0.449439,1,0
0.764,0.448019,1,0
0.765,0.446594,1,0
0.766,0.445163,1,0
0.767,0.443727,1,0
0.768,0.442284,1,3.70252e-17
0.769,0.440836,1,0
0.77,0.439406,1,9.42985e-17
0.771,0.438001,1,0
0.772,0.436591,1,0
0.773,0.435176,1,0
0.774,0.433754,1,0
0.775,0.432327,1,1.21053e-17
0.776,0.430893,1,0
0.777,0.429454,1,0
0.778,0.428009,1,0
0.779,0.426558,1,0
0.78,0.4251,1,0
0.781,0.423637,1,0
0.782,0.422167,1,2.57161e-18
0.783,0.420691,1,0
0.784,0.419208,1,7.52311e-17
0.785,0.417719,1,0
0.786,0.416223,1,0
0.787,0.41472,1,0
0.788,0.41327,1,0
0.789,0.411816,1,0
0.79,0.410357,1,0
0.791,0.408891,1,0
0.792,0.407418,1,0
0.793,0.405939,1,0
0.794,0.404453,1,0
0.795,0.40296,1,0
0.796,0.401461,1,0
0.797,0.399955,1,0
0.798,0.398441,1,0
0.799,0.396921,1,0
0.8,0.395393,1,2.97533e-18
0.801,0.393858,1,0
0.802,0.392316,1,0
0.803,0.390766,1,0
0.804,0.389208,1,0
0.805,0.387674,1,0
0.806,0.386172,1,1.01124e-17
0.807,0.384663,1,0
0.808,0.383147,1,0
0.809,0.381623,1,0
0.81,0.380092,1,0
0.811,0.378553,1,5.93208e-17
0.812,0.377006,1,1.36795e-16
0.813,0.375452,1,0
0.814,0.37389,1,0
0.815,0.372319,1,0
0.816,0.370741,1,8.80904e-17
0.817,0.369154,1,0
0.818,0.367559,1,0
0.819,0.365956,1,0
0.82,0.364344,1,0
0.821,0.362723,1,0
0.822,0.361094,1,2.52527e-17
0.823,0.35953,1,0
0.824,0.357963,1,3.48266e-17
0.825,0.356388,1,0
0.826,0.354805,1,0
0.827,0.353213,1,0
0.828,0.351612,1,0
0.829,0.350002,1,0
0.83,0.348383,1,0
0.831,0.346756,1,0
